Rk,Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,All Star and/or HOF (played prior to 1933 when AS Game was created)
307,Mel Ott,1944,35,NYG,NL,120,494,399,91,115,16,4,26,82,90,14,47,3,2,,3,2,1,0.288,0.423,0.544,0.967,*9H/5,1
308,Hank Greenberg,1937,26,DET,AL,154,701,594,137,200,49,14,40,184,102,4,101,3,2,,,8,3,0.337,0.436,0.668,1.105,*3,1
309,Wally Berger,1933,27,BSN,NL,137,574,528,84,165,37,8,27,106,41,7,77,3,2,,6,2,3,0.313,0.365,0.566,0.932,*8/H,1
310,Al Simmons,1927,25,PHA,AL,106,458,406,86,159,36,11,15,108,31,,30,1,20,,,10,2,0.392,0.436,0.645,1.081,*87/H9,1
311,Tris Speaker,1920,32,CLE,AL,150,674,552,137,214,50,11,8,107,97,,13,5,20,,,10,13,0.388,0.483,0.562,1.045,*8/H,1
312,Tris Speaker,1917,29,CLE,AL,142,614,523,90,184,42,11,2,60,67,,14,7,15,,,30,,0.352,0.432,0.486,0.918,*8,1
313,Elmer Flick,1900,24,PHI,NL,138,623,545,106,200,32,16,11,110,56,,30,16,6,,,35,,0.367,0.441,0.545,0.986,*9,1
314,Shoeless Joe Jackson,1920,32,CHW,AL,146,649,570,105,218,42,20,12,121,56,,14,7,16,,,9,12,0.383,0.444,0.59,1.033,*7/9H,0
315,Jack Fournier,1915,22,CHW,AL,126,514,422,86,136,20,18,5,77,64,,37,15,13,,,21,16,0.322,0.429,0.491,0.92,378/H9,0
316,Aaron Judge,2017,25,NYY,AL,155,678,542,128,154,24,3,52,114,127,11,208,5,0,4,15,9,4,0.284,0.422,0.627,1.049,*9D/H,1
317,Buster Posey,2012,25,SFG,NL,148,610,530,78,178,39,1,24,103,69,7,96,2,0,9,19,1,1,0.336,0.408,0.549,0.957,*23/HD,1
318,Joey Votto,2010,26,CIN,NL,150,648,547,106,177,36,2,37,113,91,8,125,7,0,3,11,16,5,0.324,0.424,0.6,1.024,*3/H,1
319,Joe Mauer,2009,26,MIN,AL,138,606,523,94,191,30,1,28,96,76,14,63,2,0,5,13,4,1,0.365,0.444,0.587,1.031,*2D/H,1
320,David Ortiz,2007,31,BOS,AL,149,667,549,116,182,52,1,35,117,111,12,103,4,0,3,16,3,1,0.332,0.445,0.621,1.066,*D/3H,1
321,Jim Edmonds,2004,34,STL,NL,153,612,498,102,150,38,3,42,111,101,12,150,5,0,8,4,8,3,0.301,0.418,0.643,1.061,*8/H3D,1
322,Ken Griffey Jr.,1994,24,SEA,AL,111,493,433,94,140,24,4,40,90,56,19,73,2,0,2,9,11,3,0.323,0.402,0.674,1.076,*8/D9,1
323,Ken Griffey Jr.,1993,23,SEA,AL,156,691,582,113,180,38,3,45,109,96,25,91,6,0,7,14,17,9,0.309,0.408,0.617,1.025,*8D/3,1
324,Danny Tartabull,1991,28,KCR,AL,132,557,484,78,153,35,3,31,100,65,6,121,3,0,5,9,6,3,0.316,0.397,0.593,0.99,*9/DH,1
325,Mike Schmidt,1980,30,PHI,NL,150,652,548,104,157,25,8,48,121,89,10,119,2,0,13,6,12,5,0.287,0.38,0.624,1.005,*5/H,1
326,Joe Torre,1971,30,STL,NL,161,707,634,97,230,34,8,24,137,63,20,70,4,1,5,18,4,1,0.363,0.421,0.555,0.976,*5,1
327,Rico Carty,1970,30,ATL,NL,136,560,478,84,175,23,3,25,101,77,6,46,2,0,3,19,1,2,0.366,0.454,0.584,1.037,*7/H,1
328,Frank Howard,1968,31,WSA,AL,158,663,598,79,164,28,3,44,106,54,12,141,6,0,5,13,0,0,0.274,0.338,0.552,0.89,*73/H,1
329,Carl Yastrzemski,1968,28,BOS,AL,157,664,539,90,162,32,2,23,74,119,13,90,2,0,4,12,13,6,0.301,0.426,0.495,0.922,*7/3H8,1
330,Roberto Clemente,1967,32,PIT,NL,147,632,585,103,209,26,10,23,110,41,17,103,3,0,3,15,9,1,0.357,0.4,0.554,0.954,*9/H8,1
331,Duke Snider,1954,27,BRO,NL,149,679,584,120,199,39,10,40,130,84,18,96,4,1,6,12,6,6,0.341,0.423,0.647,1.071,*8/H,1
332,Eddie Mathews,1953,21,MLN,NL,157,681,579,110,175,31,8,47,135,99,16,83,2,1,,6,1,3,0.302,0.406,0.627,1.033,*5,1
333,Hank Greenberg,1940,29,DET,AL,148,671,573,129,195,50,8,41,150,93,8,75,1,3,,15,6,3,0.34,0.433,0.67,1.104,*7,1
334,Ty Cobb,1925,38,DET,AL,121,492,415,97,157,31,12,12,102,65,,12,5,5,,,13,9,0.378,0.468,0.598,1.066,*8H/91,1
335,Jim O'Rourke,1884,33,BUF,NL,108,502,467,119,162,33,7,5,63,35,,17,,,,,,,0.347,0.392,0.48,0.872,*732/15,1
336,Roger Connor,1883,25,NYG,NL,98,434,409,80,146,28,15,1,50,25,,16,,,,,,,0.357,0.394,0.506,0.9,*3,1
337,Jim O'Rourke,1879,28,PRO,NL,81,375,362,69,126,19,9,1,46,13,,10,,,,,,,0.348,0.371,0.459,0.829,*93/257,1
338,Ken Williams,1923,33,SLB,AL,147,646,555,106,198,37,12,29,91,79,,32,2,10,,,18,17,0.357,0.439,0.623,1.062,*7/H,0
339,Charley Jones,1877,25,TOT,NL,57,255,240,53,75,12,10,2,38,15,,25,,,,,,,0.313,0.353,0.471,0.824,*73/8,0
340,Josh Hamilton,2010,29,TEX,AL,133,571,518,95,186,40,3,32,100,43,5,95,5,1,4,11,8,1,0.359,0.411,0.633,1.044,*78D/H,1
341,Jim Thome,2001,30,CLE,AL,156,644,526,101,153,26,1,49,124,111,14,185,4,0,3,9,0,1,0.291,0.416,0.624,1.04,*3/HD,1
342,Barry Bonds,1997,32,SFG,NL,159,690,532,123,155,26,5,40,101,145,34,87,8,0,5,13,37,8,0.291,0.446,0.585,1.031,*7,1
343,Barry Bonds,1995,30,SFG,NL,144,635,506,109,149,30,7,33,104,120,22,83,5,0,4,12,31,10,0.295,0.432,0.577,1.009,*7/H,1
344,Barry Bonds,1990,25,PIT,NL,151,621,519,104,156,32,3,33,114,93,15,83,3,0,6,8,52,13,0.301,0.406,0.565,0.97,*7/H8,1
345,Jose Canseco,1988,23,OAK,AL,158,705,610,120,187,34,0,42,124,78,10,128,10,1,6,15,40,16,0.307,0.391,0.569,0.96,*9D/H,1
346,Frank Howard,1970,33,WSA,AL,161,706,566,90,160,15,1,44,126,132,29,125,2,0,6,23,1,2,0.283,0.416,0.546,0.962,*73/9,1
347,Henry Aaron,1962,28,MLN,NL,156,667,592,127,191,28,6,45,128,66,14,73,3,0,6,14,15,7,0.323,0.39,0.618,1.008,89/H3,1
348,Eddie Mathews,1955,23,MLN,NL,141,616,499,108,144,23,5,41,101,109,20,98,1,1,6,5,3,4,0.289,0.413,0.601,1.014,*5/H,1
349,Dolph Camilli,1937,30,PHI,NL,131,570,475,101,161,23,7,27,80,90,7,82,2,3,,3,6,11,0.339,0.446,0.587,1.034,*3,1
350,Hank Greenberg,1935,24,DET,AL,152,710,619,120,203,46,16,36,168,87,16,91,0,4,,,4,3,0.328,0.411,0.628,1.039,*3,1
351,George Sisler,1922,29,SLB,AL,142,655,586,134,246,42,18,8,105,49,,14,3,16,,,51,19,0.42,0.467,0.594,1.061,*3/H,1
352,Tris Speaker,1910,22,BOS,AL,141,612,538,92,183,20,14,7,65,52,,38,6,12,,,35,,0.34,0.404,0.468,0.873,*8/H,1
353,Eddie Collins,1909,22,PHA,AL,153,666,571,104,198,30,10,3,56,62,,36,6,21,,,63,,0.347,0.416,0.45,0.866,*4/6,1
354,Ty Cobb,1908,21,DET,AL,150,635,580,88,188,36,20,4,108,34,,42,6,15,,,39,,0.324,0.368,0.476,0.844,*9/8,1
355,Gavvy Cravath,1915,34,PHI,NL,150,621,522,89,149,31,7,24,115,86,,77,6,7,,,11,9,0.285,0.393,0.51,0.902,*9/H,0
356,Heinie Zimmerman,1912,25,CHC,NL,145,621,557,95,207,41,14,14,104,38,,60,6,18,,,23,,0.372,0.418,0.571,0.989,*53/H,0
357,Jack Clements,1895,30,PHI,NL,88,355,322,64,127,27,2,13,75,22,,7,8,3,,,3,,0.394,0.446,0.612,1.058,*2,0
358,Ed Williamson,1884,26,CHC,NL,107,459,417,84,116,18,8,27,84,42,,56,,,,,,,0.278,0.344,0.554,0.898,*52/1,0
359,Vladimir Guerrero Jr.,2021,22,TOR,AL,161,698,604,123,188,29,1,48,111,86,7,110,6,0,2,20,4,1,0.311,0.401,0.601,1.002,*3D/5,1
360,Giancarlo Stanton,2017,27,MIA,NL,159,692,597,123,168,32,0,59,132,85,13,163,7,0,3,13,2,2,0.281,0.376,0.632,1.007,*9/HD,1
361,Miguel Cabrera,2015,32,DET,AL,119,511,429,64,145,28,1,18,76,77,15,82,3,0,2,19,1,1,0.338,0.44,0.534,0.974,*3D/H,1
362,Mike Trout,2014,22,LAA,AL,157,705,602,115,173,39,9,36,111,83,6,184,10,0,10,6,16,2,0.287,0.377,0.562,0.939,*8/D,1
363,Chipper Jones,1999,27,ATL,NL,157,701,567,116,181,41,1,45,110,126,18,94,2,0,6,20,25,3,0.319,0.441,0.633,1.074,*5/6,1
364,Tony Gwynn,1994,34,SDP,NL,110,475,419,79,165,35,1,12,64,48,16,19,2,1,5,20,5,0,0.394,0.454,0.568,1.022,*9/H8,1
365,Juan Gonzalez,1993,23,TEX,AL,140,587,536,105,166,33,1,46,118,37,7,99,13,0,1,12,4,1,0.31,0.368,0.633,1.001,*7D/H,1
366,Howard Johnson,1989,28,NYM,NL,153,655,571,104,164,41,3,36,101,77,8,126,1,0,6,4,41,8,0.287,0.37,0.559,0.928,*56,1
367,Joe Morgan,1975,31,CIN,NL,146,639,498,107,163,27,6,17,94,132,3,52,3,0,6,3,67,10,0.327,0.466,0.508,0.974,*4/H,1
368,Bobby Murcer,1972,26,NYY,AL,153,654,585,102,171,30,7,33,96,63,7,67,2,0,4,6,11,9,0.292,0.361,0.537,0.898,*8/H,1
369,Frank Robinson,1960,24,CIN,NL,139,562,464,86,138,33,6,31,83,82,6,67,9,0,7,18,13,6,0.297,0.408,0.595,1.002,37H/5,1
370,Duke Snider,1955,28,BRO,NL,148,653,538,126,166,34,6,42,136,104,19,87,1,4,6,9,9,7,0.309,0.418,0.628,1.046,*8/H,1
371,Stan Musial,1953,32,STL,NL,157,698,593,127,200,53,9,30,113,105,12,32,0,0,,10,3,4,0.337,0.437,0.609,1.046,*79/8,1
372,Hank Greenberg,1938,27,DET,AL,155,681,556,143,175,23,4,58,147,119,15,92,3,3,,,7,5,0.315,0.438,0.684,1.122,*3,1
373,Harry Heilmann,1922,27,DET,AL,118,527,455,92,162,27,10,21,92,58,,28,3,11,,,8,4,0.356,0.432,0.598,1.03,*9/3,1
374,Ty Cobb,1922,35,DET,AL,137,613,526,99,211,42,16,4,99,55,,24,4,27,,,9,13,0.401,0.462,0.565,1.026,*8/H,1
375,Rogers Hornsby,1917,21,STL,NL,145,589,523,86,171,24,17,8,66,45,,34,4,17,,,17,,0.327,0.385,0.484,0.868,*6/H,1
376,Nap Lajoie,1906,31,CLE,AL,152,656,602,88,214,48,9,0,91,30,,19,6,17,,,20,,0.356,0.392,0.465,0.857,*45/6,1
377,Dan Brouthers,1887,29,DTN,NL,123,577,500,153,169,36,20,12,101,71,,9,6,,,,34,,0.338,0.426,0.562,0.988,*3,1
378,Roger Connor,1880,22,TRO,NL,83,353,340,53,113,18,8,3,47,13,,21,,,,,,,0.332,0.357,0.459,0.816,*5,1
379,Babe Herman,1930,27,BRO,NL,153,699,614,143,241,48,11,35,130,66,4,56,4,15,,,18,13,0.393,0.455,0.678,1.132,*9/H,0
380,Sherry Magee,1907,22,PHI,NL,140,568,503,75,165,28,12,4,85,53,,29,4,8,,,46,,0.328,0.396,0.455,0.852,*7/H,0
381,Jimmy Sheckard,1901,22,BRO,NL,133,610,554,116,196,29,19,11,104,47,,52,5,3,,,35,,0.354,0.409,0.534,0.944,*75/8,0
382,Nelson Cruz,2019,38,MIN,AL,120,521,454,81,141,26,0,41,108,56,8,131,7,0,3,14,0,1,0.311,0.392,0.639,1.031,*D/H,1
383,Paul Goldschmidt,2015,27,ARI,NL,159,695,567,103,182,38,2,33,110,118,29,151,2,0,7,16,21,5,0.321,0.435,0.57,1.005,*3/DH,1
384,Chris Davis,2013,27,BAL,AL,160,673,584,103,167,42,1,53,138,72,12,199,10,0,7,4,4,1,0.286,0.37,0.634,1.004,*3/D,1
385,Mike Trout,2012,20,LAA,AL,139,639,559,129,182,27,8,30,83,67,4,139,6,0,7,7,49,5,0.326,0.399,0.564,0.963,*87/9H,1
386,Albert Pujols,2005,25,STL,NL,161,700,591,129,195,38,2,41,117,97,27,65,9,0,3,19,16,2,0.33,0.43,0.609,1.039,*3/H,1
387,Jeff Bagwell,1997,29,HOU,NL,162,717,566,109,162,40,2,43,135,127,27,122,16,0,8,10,31,10,0.286,0.425,0.592,1.017,*3/HD,1
388,Gary Sheffield,1992,23,SDP,NL,146,618,557,87,184,34,3,33,100,48,5,40,6,0,7,19,5,6,0.33,0.385,0.58,0.965,*5/H,1
389,Lonnie Smith,1989,33,ATL,NL,134,577,482,89,152,34,4,21,79,76,3,95,11,1,7,7,25,12,0.315,0.415,0.533,0.948,*7/H,1
390,Wade Boggs,1988,30,BOS,AL,155,719,584,128,214,45,6,5,58,125,18,34,3,0,7,23,2,3,0.366,0.476,0.49,0.965,*5/DH,1
391,Reggie Smith,1977,32,LAD,NL,148,603,488,104,150,27,4,32,87,104,11,76,3,1,7,5,7,5,0.307,0.427,0.576,1.003,*9/8H,1
